ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Measure Reflex Angles,Angles and Angle Measurement,C,A student is asked to measure the reflex angle formed by the hands of a clock at 4:15. The student measures the smaller angle and subtracts it from 360 degrees to find the reflex angle. What is the correct measure of the reflex angle?,270 degrees,90 degrees,247.5 degrees,112.5 degrees,5.0,,,
Calculate the gradient of a line from a graph,Gradient as change in y over change in x,C,"The graph shows the relationship between the distance (in meters) a car travels and the time (in seconds) it takes. The line passes through the points (2, 4) and (6, 16). What is the gradient of the line?",12,4,3,2,7.0,,,
Calculate duration from a timetable,Time and Timetables,A,"The timetable below shows the departure and arrival times for a train service. What is the duration of the journey from City A to City B?

| Departure (City A) | Arrival (City B) |
|---------------------|------------------|
| 09:15               | 11:45            |
",2 hours 30 minutes,2 hours 15 minutes,2 hours 45 minutes,3 hours 30 minutes,,10.0,,
Interpret 3D Shapes from Different Views,3D Geometry,C,"A 3D shape is made up of several cubes stacked together. The front view and top view of the shape are shown below. Which of the following could be the side view of the shape, considering that the side view should include the furthest rows back?

Front View: ![A 2D representation of the front view of a 3D shape made of cubes. The front view shows a 3x3 grid with the following cubes: (1,1), (1,2), (1,3), (2,1), (2,2), (3,1), (3,2), (3,3).]
Top View: ![A 2D representation of the top view of a 3D shape made of cubes. The top view shows a 3x3 grid with the following cubes: (1,1), (1,2), (1,3), (2,1), (2,2), (3,1), (3,2), (3,3).]
","![A 2D representation of the side view of a 3D shape made of cubes. The side view shows a 3x3 grid with the following cubes: (1,1), (1,2), (1,3), (2,1), (2,2), (3,1), (3,2), (3,3).]","![A 2D representation of the side view of a 3D shape made of cubes. The side view shows a 3x3 grid with the following cubes: (1,1), (1,2), (2,1), (2,2), (3,1), (3,2).]","![A 2D representation of the side view of a 3D shape made of cubes. The side view shows a 3x3 grid with the following cubes: (1,1), (1,2), (1,3), (2,1), (2,2), (2,3), (3,1), (3,2), (3,3).]","![A 2D representation of the side view of a 3D shape made of cubes. The side view shows a 3x3 grid with the following cubes: (1,1), (1,2), (2,1), (2,2), (3,1), (3,2), (3,3).]
",,12.0,,
Calculate the difference in time,Time Calculations,A,"If a movie starts at 2:45 PM and ends at 4:10 PM, how long is the movie?",1 hour 25 minutes,1 hour 35 minutes,2 hours 25 minutes,2 hours 35 minutes,,13.0,,
Calculate time differences involving AM and PM,Time,C,"Sarah's morning class starts at 8:00 AM and her evening class starts at 7:00 PM. If she spends 2 hours in the morning class and 3 hours in the evening class, what is the total time she spends in classes from the start of her morning class to the end of her evening class?",5 hours,6 hours,10 hours,12 hours,17.0,,,
Calculate the area of a rectangle when given the lengths of the sides,Area of Simple Shapes,A,A rectangle has a length of 8 cm and a width of 5 cm. What is the area of the rectangle?,40 cm²,13 cm²,40 cm,13 cm,,18.0,,
Identify multiples of a given number,Multiples and Factors,B,Which of the following numbers is a multiple of 7?,21,28,35,40,,,,24.0
Multiplication by Zero,Multiplication and Division,B,What is the value of \( 7 \times 0 \)?,\( 7 \),\( 0 \),\( 1 \),\( 70 \),25.0,,,
Calculate the result of a number being n times bigger or smaller,Multiplication and Division,B,"If a number is 5 times bigger than 12, what is the number?",17,60,7,5,30.0,,,
